Platform,Instrument,Imagery_Layer,Imagery_Product_Name,Image_Resolution,Sensor_Resolution,Format,Projection
GOES-East,ABI,"Red Visible (0.64 um, Band 2, 10 minutes) ",GOES-East_ABI_Band2_Red_Visible_1km,1 km,0.5 km,png,"Geographic, Web Mercator"
GOES-West,ABI,"Red Visible (0.64 um, Band 2, 10 minutes)",GOES-West_ABI_Band2_Red_Visible_1km,1 km,0.5 km,png,"Geographic, Web Mercator"
Himawari-8,AHI,"Red Visible (0.64 um, Band 3, 10 minute)",Himawari_AHI_Band3_Red_Visible_1km,1 km,0.5 km,png,"Geographic, Web Mercator"
GOES-East,ABI,"Clean Infrared (10.3 um, Band 13, 10 minute) ",GOES-East_ABI_Band13_Clean_Infrared,2 km,2 km,png,"Geographic, Web Mercator"
GOES-West,ABI,"Clean Infrared (10.3 um, Band 13, 10 minute)",GOES-West_ABI_Band13_Clean_Infrared,2 km,2 km,png,"Geographic, Web Mercator"
Himawari-8,AHI,"Clean Infrared (10.3 um, Band 13, 10 minute)",Himawari_AHI_Band3_Red_Visible_1km,2 km,2 km,png,"Geographic, Web Mercator"
GOES-East,ABI,Air Mass (10 minute),GOES-East_ABI_Air_Mass,2 km,2 km,png,"Geographic, Web Mercator"
GOES-West,ABI,Air Mass (10 minute),GOES-West_ABI_Air_Mass,2 km,2 km,png,"Geographic, Web Mercator"
Himawari-8,AHI,Air Mass (10 minute),Himawari_AHI_Band13_Clean_Infrared,2 km,2 km,png,"Geographic, Web Mercator"
Terra,MODIS,Corrected Reflectance (True Color)   ,MODIS_Terra_CorrectedReflectance_TrueColor,250m,"500m, 250m [3]",jpeg,"Geographic, Web Mercator, Polar"
Terra,MODIS,Corrected Reflectance (Bands 7-2-1)   ,MODIS_Terra_CorrectedReflectance_Bands721,250m,"500m, 250m [3]",jpeg,"Geographic, Web Mercator,  Polar"
Terra,MODIS,Corrected Reflectance (Bands 3-6-7)   ,MODIS_Terra_CorrectedReflectance_Bands367,250m,"500m, 250m [3]",jpeg,"Geographic, Web Mercator,  Polar"
Aqua,MODIS,Corrected Reflectance (True Color)   ,MODIS_Aqua_CorrectedReflectance_TrueColor,250m,"500m, 250m [3]",jpeg,"Geographic, Web Mercator,  Polar"
Aqua,MODIS,Corrected Reflectance (Bands 7-2-1)   ,MODIS_Aqua_CorrectedReflectance_Bands721,250m,"500m, 250m [3]",jpeg,"Geographic, Web Mercator,  Polar"
Suomi NPP,VIIRS,Corrected Reflectance   ,VIIRS_SNPP_CorrectedReflectance_TrueColor,250m,"750m, 375m",jpeg,"Geographic, Web Mercator,  Polar "
